Kategori,Provinsi,Kota_Kabupaten,Kecamatan,Harga_Teks,Harga_IDR,Merk,Model,Tahun,Jarak_Tempuh,Tipe_Bahan_Bakar,Transmisi,Tipe_Penjual,Nama_Bursa_Mobil,Kapasitas_Mesin,Warna,Tipe_Bodi,URL_Detail
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.500.000.000,3500000000,Mercedes-Benz,GTS,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/945862437
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.499.000.000,3499000000,Toyota,2025,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946815480
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.499.000.000,3499000000,Toyota,2025,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/946781925
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.450.000.000,3450000000,Porsche,Cayenne,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/938219613
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.450.000.000,3450000000,Porsche,Cayenne,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/925920016
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.400.000.000,3400000000,Land Rover,Rover,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947325515
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 3.400.000.000,3400000000,Lexus,LX600,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947276806
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 3.375.000.000,3375000000,Nissan,GTR,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947085192
Mobil Bekas,Jakarta D.K.I.,Jakarta Utara,Jakarta Utara,Rp 197.000.000,197000000,Honda,DP,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947714491
Mobil Bekas,Jakarta D.K.I.,Jakarta Selatan,Jakarta Selatan,Rp 165.000.000,165000000,Toyota,Avanza,NA,NA,NA,NA,Individu / Dealer,Penjual Perorangan,NA,NA,NA,https://www.olx.co.id/item/947792371
